Gaussian,Atom,02_lsw3_2R3R5R12R_5_DP4J,02_lsw3_2R3R5R12R_6_DP4J,02_lsw3_2R3R5R12R_7_DP4J,02_lsw3_2R3R5R12R_8_DP4J,02_lsw3_2R3R5R12R_9_DP4J,02_lsw3_2R3R5R12R_10_DP4J
1,C,150.8014,162.1248,163.3566,162.4088,161.6684,160.4206
2,C,114.0774,113.5031,113.3821,113.3844,113.1238,113.5773
3,C,116.9998,117.6589,117.6566,117.6233,117.564,118.6232
4,C,157.396,155.7193,155.7634,156.9978,158.2784,156.0638
5,C,152.2568,151.9753,152.0428,153.2696,153.6837,151.746
6,C,160.2696,158.1391,158.1105,162.3186,163.1882,158.3902
7,C,152.9349,152.7908,152.8084,158.6409,158.6609,153.5283
8,C,60.4922,59.9371,59.7893,61.5535,62.2793,58.2367
9,C,65.8297,67.1262,67.0683,69.8385,70.5942,67.5937
10,C,165.8437,165.9962,165.9157,165.2242,166.571,160.7903
11,C,155.4544,159.4813,162.6063,160.1259,154.3027,161.9901
12,C,111.3245,117.9533,117.6904,117.5094,115.767,112.694
13,C,160.7923,155.9052,156.1286,156.8007,155.2116,154.3713
14,C,45.5338,48.7649,44.8534,48.5838,41.0255,46.264
15,C,176.0112,176.3705,176.2185,172.0695,172.871,176.1287
16,C,85.6899,86.8709,89.0682,85.9126,87.9981,83.617
17,O,275.7478,279.1435,289.9062,278.6164,288.7357,272.9666
18,C,114.4896,115.2935,115.1633,114.7704,114.4597,114.9509
19,O,225.491,241.0144,241.5297,238.7022,240.5373,241.8251
20,C,160.4411,161.1815,161.1765,161.2988,161.4487,161.2075
21,C,164.9018,165.4442,165.5171,165.9151,165.8495,164.7395
22,O,273.4321,275.8737,275.8156,275.5232,274.8405,276.4679
23,C,161.7203,163.4238,163.5848,163.0485,164.2694,163.0086
24,H,30.4677,29.9677,30.2238,29.8735,30.0199,30.1736
25,H,29.8029,30.0569,30.4334,30.1375,29.9176,30.0583
26,H,27.628,27.5124,27.5006,27.575,27.6024,27.4171
27,H,30.1691,30.2008,30.187,30.1992,30.1376,30.2173
28,H,29.7154,29.8203,29.8583,30.0939,30.2996,29.8067
29,H,29.2999,29.5223,29.512,29.158,28.8122,29.455
30,H,29.976,30.0718,30.0833,29.7732,29.8352,30.0442
31,H,30.7125,30.695,30.6926,30.6644,30.6543,30.6905
32,H,29.6481,29.7137,29.7086,29.6645,29.5875,29.7743
33,H,29.7028,29.805,29.8457,29.8042,29.8338,29.7497
34,H,26.2254,25.8068,25.9017,26.3731,25.684,25.9736
35,H,29.0333,29.3668,29.3403,29.6994,29.3821,29.293
36,H,29.667,29.2212,29.2157,28.8689,29.2434,29.4828
37,H,29.2886,30.3428,30.0844,30.2529,30.0184,29.9053
38,H,30.5889,29.6554,29.5668,29.6842,29.6307,30.1442
39,H,27.633,27.2344,27.4359,27.209,26.8166,27.2215
40,H,29.3454,29.8814,29.7899,29.7165,29.1788,29.6625
41,H,29.4494,29.376,29.3643,29.3435,29.2551,29.1557
42,H,30.5249,30.5238,30.5177,30.3874,30.2613,30.0669
43,H,30.0651,30.1187,30.1191,29.5628,30.3848,29.7286
44,H,29.6463,29.7599,29.7593,30.2474,29.6043,30.5242
45,H,26.7037,26.0108,26.434,26.0713,26.546,26.2937
46,H,26.516,26.2825,26.3182,26.334,26.3644,26.2899
47,H,31.5217,31.4775,30.5877,31.4862,31.6591,31.1202
48,H,30.4635,30.5878,30.5549,30.5173,30.5765,30.4978
49,H,30.5387,30.8373,30.8469,30.4342,30.574,30.652
50,H,30.9062,30.5547,30.5513,30.4986,30.5969,30.5346
51,H,30.7664,30.5836,30.7917,30.6441,30.7148,30.7148
52,H,30.754,30.7307,30.5768,30.7521,30.6459,30.5284
53,H,30.5847,30.8004,30.7107,30.7382,30.7589,30.6436
54,H,31.0335,31.0525,31.0001,31.0864,31.0427,31.0192
55,H,30.8529,31.0309,31.0094,31.0416,31.0815,31.0297
56,H,29.8176,30.3365,30.3471,30.3268,30.4137,30.3303
57,H,30.8096,30.3656,30.2923,30.3598,30.4577,30.293
