Gaussian,Atom,01
1,C,156.20584856590682
2,C,114.04464347736538
3,C,119.98281859481197
4,C,155.28056171840956
5,C,153.87480997300224
6,C,159.78633446089705
7,C,153.816715909199
8,C,59.533247835182706
9,C,67.90054880363219
10,C,166.0166750945273
11,C,158.65434044658335
12,C,116.7496001406434
13,C,156.80629427633744
14,C,46.449963585096505
15,C,175.57269567516562
16,C,86.94314433386084
17,O,281.5885273749616
18,C,114.97565866868634
19,O,253.5163925421912
20,C,160.39926882025975
21,C,167.99943717988089
22,O,260.1571483070442
23,C,165.67176022541955
24,H,30.18149393927943
25,H,30.238763108485358
26,H,27.837308678263767
27,H,30.596418645383633
28,H,29.255499431143548
29,H,29.573257479685964
30,H,29.981546549878395
31,H,30.683395389976333
32,H,29.710086298039435
33,H,29.781063460219023
34,H,25.999483739918638
35,H,29.320556607973177
36,H,29.34216282128193
37,H,30.234952751394307
38,H,29.709149726736182
39,H,27.215287768028585
40,H,29.703355169314502
41,H,29.371759012548758
42,H,30.39854733707199
43,H,29.935605945707906
44,H,29.99659752815067
45,H,26.2905105073891
46,H,26.3630614180007
47,H,31.485039449115593
48,H,30.544364980012435
49,H,30.539554932434665
50,H,30.723878057726584
51,H,30.961233182805493
52,H,29.45306136240867
53,H,30.81796159580701
54,H,30.939751236923527
55,H,30.902761825107014
56,H,30.61534244958852
57,H,30.321284596126624
